# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     %     %     %     %   MHz   MHz
    0    46    30     0     0     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    47    30     0     0     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    51    30     0     0     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    31    69     2     0     0  2600   705
    1    24    26     0     0     0     0   324   324
    0    58    31    69     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    64    31    69     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    31    69     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    32    68     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    59    32    72     4     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    32    69     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    32    69     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    61    32    67     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    32    69     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    32    69     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    62    32    77     5     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    32    69     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    59    33    70     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    60    33    77     4     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    33    71     3     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    33    71     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    59    33    79     5     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    33    71     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     %     %     %     %   MHz   MHz
    0    58    33    71     3     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    57    33    73     3     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    58    33    71     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    57    33    71     2     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    46    33     0     0     0     0  2600   705
    1    24    25     0     0     0     0   324   324
    0    45    33     0     0     0     0  2600   614
    1    24    25     0     0     0     0   324   324
